N_B,D_B,u,Q,z,z0,u_max,t,tn,td,reducible_loss,loss,C_train,C_att,C_quality,c,M,kkt_log_residual,bracket_expansions,logN_margin,C,L_ctx,cost,recipe,s_Q,keep,mapping,state,near_optimal_states,near_optimal_t_min,near_optimal_t_max,candidate_count,grid,share_train,share_att,share_quality,budget_relative_error,baseline_loss,baseline_N_B,baseline_D_B,loss_gain,reducible_gain_fraction,scenario,within_B1_ND_rectangle,within_B7_ND_rectangle,quality_positive_extrapolation,mixture_transfer_assumption
0.2461296979281701,5.784558570059291,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5701120830576781,0.7588643800447812,1.2703851041863032,2.960222874344157,8.542509920979005e+18,5.831686772721668e+17,8.743214017488274e+17,1.511474715243251e+17,-0.3283306919150466,1.3827827771706325e-13,0,0.893713460678941,1e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8542509920979006,0.05831686772721668,0.08743214017488274,0.0,2.998925629084324,0.2213116933514807,7.04960382676961,0.038702754740167045,0.02956467320070177,main,True,False,True,False
0.2580471824004462,6.215732443462867,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5610203438088412,0.7437471947043548,1.2472434925472426,2.937081262705096,9.623713461543803e+18,6.569788389747236e+17,9.394922425011273e+17,1.511474715243251e+17,-0.33093439347610976,1.5765166949677223e-13,0,0.89841376623025,1.1220184543019653e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8577143650931256,0.058553300657024035,0.08373233424985047,1.8252819212979077e-16,2.97599226982809,0.2331206689402049,7.509106981979597,0.03891100712299389,0.030253758108353436,main,True,False,True,False
0.2705910320097315,6.676780077078901,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5520393757030069,0.7290003714356994,1.2245618021228515,2.914399572280705,1.0840060869352767e+19,7.400148220144822e+17,1.0091784265744643e+18,1.511474715243251e+17,-0.33302232334597553,1.7785772854495008e-13,0,0.9029317648240665,1.2589254117941713e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8610566414656716,0.05878146672405651,0.08016189181027196,1.6267842247153233e-16,2.9534606704409043,0.24555975992113102,7.998561203212074,0.039061098160199315,0.03091198976486566,main,True,False,True,False
0.28379493534759476,7.16966089505653,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5431694499356984,0.7146118993109619,1.2023288107572134,2.8921665809150667,1.2208280701060477e+19,8.334186291923953e+17,1.083676115974624e+18,1.511474715243251e+17,-0.3346268036473248,1.7907897387203775e-13,0,0.9072725470905134,1.4125375446227497e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8642800856894021,0.05900152051639652,0.07671839379420137,1.4498729664187191e-16,2.9313237926607085,0.25866258863554487,8.519918743342116,0.039157211745641796,0.03154059815083525,main,True,False,True,False
0.2976943787762541,7.696460768261198,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.534410768096101,0.7005702167675746,1.1805336593107048,2.870371429468558,1.3747158643099972e+19,9.384726967022915e+17,1.1633005848088445e+18,1.511474715243251e+17,-0.3357787072151971,1.5420997812043424e-13,0,0.911441207065814,1.5848931924611109e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8673870711598309,0.05921362405784446,0.07339930478232456,0.0,2.9095747215257894,0.27246457147999603,9.075259105850423,0.03920329205723139,0.032140775938012234,main,True,False,True,False
0.31232674175183095,8.259400311415385,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5257634622756241,0.6868641972512195,1.1591658380397027,2.849003608197556,1.547778952853055e+19,1.0566170984810189e+18,1.2483874733776586e+18,1.511474715243251e+17,-0.33650749536682034,1.368904989362818e-13,0,0.9154428306291105,1.7782794100389229e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8703800674491178,0.05941794593785977,0.07020198661302242,0.0,2.888206663214742,0.28700301463532196,9.66679733919784,0.03920305501718602,0.03271367877147037,main,True,False,True,False
0.3277313972606093,8.860843725638635,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5172275954623844,0.6734831350327171,1.138215173415865,2.8280529435737183,1.7423860170668716e+19,1.189468854317651e+18,1.3392941247024602e+18,1.511474715243251e+17,-0.33684125636587536,1.2090328738167955e-13,0,0.919282484484415,1.9952623149688828e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8732616278045853,0.05961466045812635,0.0671237117372884,0.0,2.867212942924259,0.30231721490370156,10.296892871838905,0.03915999935054071,0.03326042561142926,main,True,False,True,False
0.34394981764557003,9.503308221172261,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5088031622046734,0.6604167312100127,1.117671815379471,2.8075095855373244,1.9611966778211074e+19,1.338843598725876e+18,1.4364010087465188e+18,1.511474715243251e+17,-0.33680674449507414,9.692247004977617e-14,0,0.922965205719227,2.238721138568347e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8760343769636645,0.059803946800719494,0.064161676235616,1.8296159934503391e-16,2.846587002784103,0.31844856592625603,10.968058923114384,0.03907741724677871,0.03378209913142391,main,True,False,True,False
0.3610256861115824,10.189474057426597,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.5004900895271664,0.6476550799053785,1.0975262250209712,2.7873639951788247,2.207197117619164e+19,1.5067798989613494e+18,1.540113239942736e+18,1.511474715243251e+17,-0.3364294196406823,8.204548151979907e-14,0,0.9264959919754856,2.511886431509572e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8787009993492029,0.05998598822223892,0.0613130124285584,3.26129394117426e-16,2.826322399808605,0.3354406700683316,11.682972527558565,0.0389584046297804,0.034279746169336704,main,True,True,True,False
0.3790050142137004,10.922195239902369,0.1136718029556062,0.03352353406216535,0.6353652247770848,0.5676131129031139,0.1136718029556062,1.0,0.4922882380817412,0.6351886546694753,1.0777691626845434,2.767606932842397,2.483740057286405e+19,1.6955665457741857e+18,1.6508621940062623e+18,1.511474715243251e+17,-0.33573348728615965,6.838973831690964e-14,0,0.9298797922574259,2.8183829312644493e+19,2048,exponential,p0,1.0,0.5,A1_balanced_q01_q99,R2,R2,1.0,1.0,2,65,0.8812642277009856,0.06016097127772062,0.05857480102129392,1.4533156423007274e-16,2.806412803884049,0.35333945627485674,12.444485212606109,0.03880587104165212,0.03475437822763267,main,True,True,True,False
