donor,recipient,delta,loss_change,final_loss
pile_cc,ubuntu_irc,0.0,0.0,2.183549798341493
pile_cc,ubuntu_irc,0.0001,-2.2428687954878512e-05,2.183527369653538
pile_cc,ubuntu_irc,0.0002,-4.47208251710407e-05,2.183505077516322
pile_cc,ubuntu_irc,0.00030000000000000003,-6.687768463242705e-05,2.1834829206568607
pile_cc,ubuntu_irc,0.0004,-8.890052090837486e-05,2.1834608978205847
pile_cc,ubuntu_irc,0.0005,-0.00011079057050444874,2.1834390077709886
pile_cc,ubuntu_irc,0.0006000000000000001,-0.00013254905220438928,2.1834172492892887
pile_cc,ubuntu_irc,0.0007,-0.00015417716740406817,2.183395621174089
pile_cc,ubuntu_irc,0.0008,-0.00017567610043789372,2.183374122241055
pile_cc,ubuntu_irc,0.0009000000000000001,-0.00019704701889855514,2.1833527513225945
pile_cc,ubuntu_irc,0.001,-0.00021829107394610858,2.183331507267547
pile_cc,ubuntu_irc,0.0011,-0.00023940940061439875,2.1833103889408787
pile_cc,ubuntu_irc,0.0012000000000000001,-0.00026040311810726635,2.183289395223386
pile_cc,ubuntu_irc,0.0013000000000000002,-0.0002812733300885384,2.1832685250114046
pile_cc,ubuntu_irc,0.0014,-0.00030202112496580114,2.1832477772165273
pile_cc,ubuntu_irc,0.0015,-0.00032264757616751183,2.1832271507653256
pile_cc,ubuntu_irc,0.0016,-0.00034315374241522534,2.183206644599078
pile_cc,ubuntu_irc,0.0017000000000000001,-0.000363540667986495,2.1831862576735066
pile_cc,ubuntu_irc,0.0018000000000000002,-0.00038380938297377654,2.1831659889585193
pile_cc,ubuntu_irc,0.0019,-0.0004039609035406677,2.1831458374379524
pile_cc,ubuntu_irc,0.002,-0.00042399623216482496,2.1831258021093283
pile_cc,ubuntu_irc,0.0021000000000000003,-0.0004439163578831007,2.18310588198361
pile_cc,ubuntu_irc,0.0022,-0.00046372225652779875,2.1830860760849653
pile_cc,ubuntu_irc,0.0023,-0.00048341489095671264,2.1830663834505364
pile_cc,ubuntu_irc,0.0024000000000000002,-0.0005029952112813874,2.1830468031302117
pile_cc,ubuntu_irc,0.0025,-0.0005224641550873876,2.1830273341864057
pile_cc,ubuntu_irc,0.0026000000000000003,-0.0005418226476510135,2.183007975693842
pile_cc,ubuntu_irc,0.0027,-0.000561071602152019,2.182988726739341
pile_cc,ubuntu_irc,0.0028,-0.0005802119198805578,2.1829695864216125
pile_cc,ubuntu_irc,0.0029000000000000002,-0.0005992444904405758,2.1829505538510525
pile_cc,ubuntu_irc,0.003,-0.0006181701919478755,2.1829316281495452
pile_cc,ubuntu_irc,0.0031000000000000003,-0.0006369898912259586,2.182912808450267
pile_cc,ubuntu_irc,0.0032,-0.0006557044439947646,2.1828940938974983
pile_cc,ubuntu_irc,0.0033,-0.0006743146950580758,2.182875483646435
pile_cc,ubuntu_irc,0.0034000000000000002,-0.0006928214784851505,2.182856976863008
pile_cc,ubuntu_irc,0.0035,-0.0007112256177914666,2.1828385727237016
pile_cc,ubuntu_irc,0.0036000000000000003,-0.0007295279261110288,2.182820270415382
pile_cc,ubuntu_irc,0.0037,-0.0007477292063695629,2.1828020691351235
pile_cc,ubuntu_irc,0.0038,-0.0007658302514510495,2.182783968090042
pile_cc,ubuntu_irc,0.0039000000000000003,-0.0007838318443633696,2.1827659664971297
pile_cc,ubuntu_irc,0.004,-0.0008017347583986201,2.1827480635830945
pile_cc,ubuntu_irc,0.0041,-0.00081953975729121,2.182730258584202
pile_cc,ubuntu_irc,0.004200000000000001,-0.0008372475953719594,2.182712550746121
pile_cc,ubuntu_irc,0.0043,-0.0008548590177199777,2.182694939323773
pile_cc,ubuntu_irc,0.0044,-0.0008723747603105458,2.1826774235811826
pile_cc,ubuntu_irc,0.0045000000000000005,-0.0008897955501612209,2.182660002791332
pile_cc,ubuntu_irc,0.0046,-0.0009071221054743894,2.1826426762360187
pile_cc,ubuntu_irc,0.0047,-0.0009243551357753788,2.1826254432057177
pile_cc,ubuntu_irc,0.0048000000000000004,-0.0009414953420514571,2.1826083029994416
pile_cc,ubuntu_irc,0.0049,-0.0009585434168859486,2.182591254924607
