type,scenario,horizon_months,target_date,forecast,lo,hi,N_B,N_extrapolated,n,coefficient_N,coefficient_time,causal_status
pretrained,compute_frozen,12,2026-03-13,21.979766413411014,11.69746717758019,46.85083303358217,8.03,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
pretrained,quarter_historical_growth,12,2026-03-13,22.716765662807727,12.163613516596705,47.59369747855244,9.02386075161393,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
pretrained,half_historical_growth,12,2026-03-13,23.47104285708135,12.645101222931594,48.33762824202625,10.140730120114357,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
pretrained,compute_frozen,24,2027-03-13,24.843035227488144,10.873659827450394,61.7551083847876,8.03,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
pretrained,quarter_historical_growth,24,2027-03-13,26.462687187441247,11.696011764092242,63.20528938505884,10.140730120114357,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
pretrained,half_historical_growth,24,2027-03-13,28.148385166035816,12.571794515551373,64.63197438596185,12.806277380945778,False,192,0.3639805172851719,0.26748468226812394,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,compute_frozen,12,2026-03-13,54.328216410917676,47.671760071254646,59.31064531610847,14.769999999999998,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,quarter_historical_growth,12,2026-03-13,55.6915201455354,49.1165113901967,60.6746082888825,16.598060186966094,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,half_historical_growth,12,2026-03-13,57.046303775779016,50.586640038219294,61.9550476138508,18.652376572115696,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,compute_frozen,24,2027-03-13,64.3237754552773,54.5335774815365,70.59302062115174,14.769999999999998,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,quarter_historical_growth,24,2027-03-13,66.81040400726161,57.309235220474164,72.753507941653,18.652376572115696,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
chat_finetuned,half_historical_growth,24,2027-03-13,69.20668613923692,60.15012399409453,75.00507879549633,23.555257399323676,False,1542,0.4721041582699952,0.6959387888756694,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,compute_frozen,12,2026-03-13,61.35773026986416,51.73189206851103,68.5503553721594,14.769999999999998,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,quarter_historical_growth,12,2026-03-13,62.49266889459453,53.3365903077239,69.48429502994976,16.598060186966094,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,half_historical_growth,12,2026-03-13,63.61404119513947,54.934409148569664,70.40572045206065,18.652376572115696,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,compute_frozen,24,2027-03-13,73.17704158116925,60.562030265141715,81.50602101907907,14.769999999999998,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,quarter_historical_growth,24,2027-03-13,75.02414435394913,63.31613644468454,82.79744352496854,18.652376572115696,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
merge,half_historical_growth,24,2027-03-13,76.78440397193555,65.98592947768607,83.99139571609412,23.555257399323676,False,667,0.4125405630501161,0.9057291858338979,descriptive N-only marginal q90; residual time includes omitted D; not the ND contribution estimator
