N,parameter_term,D,data_term
0.070542,0.8719184359242926,0.134,2.1768808069314067
0.07301478680509743,0.8617645815104935,0.14111951997457498,2.145566729534639
0.07557425494306698,0.851728972972924,0.14861730535712292,2.1147031000632186
0.07822344295061263,0.8418102332889605,0.15651345367098518,2.0842834388967857
0.08096549587762869,0.832007001471983,0.16482913023591275,2.054301359623269
0.08380366902092447,0.8223179323846291,0.1735866249008859,2.024750567698098
0.08674133178883145,0.8127416965542232,0.18280941179119117,1.9956248591227064
0.08978197170128079,0.803276979990354,0.1925222122299053,1.9669181191420406
0.0929291985300999,0.7939224840045775,0.20275106100244386,1.9386243209608067
0.09618674858444357,0.7846769250322195,0.2135233761417959,1.9107375244781843
0.09955848914644685,0.7755390344562523,0.2248680324214989,1.8832518750407399
0.10304842306236603,0.7665075584332235,0.2368154387533514,1.8561616022132796
0.10666069349465766,0.7575812577212114,0.2493976196973232,1.829461018567385
0.1103995888406378,0.7487589075097841,0.2626483013021481,1.8031445184873722
0.11426954782356019,0.7400392972519392,0.2766030015066917,1.7772065769934304
0.11827516476215776,0.7314212304979993,0.29129912534441016,1.7516417485816882
0.12242119502490319,0.7229035247314439,0.30677606520609485,1.7264446660809627
0.12671256067546371,0.7144850112066505,0.32307530642964943,1.7016100395259595
0.1311543563160522,0.7061645347885286,0.34024053849993163,1.677132655046676
0.13575185513561192,0.6979409537940174,0.3583177721567257,1.6530073737737851
0.1405105151700147,0.6898131398354331,0.37735546272474824,1.6292291307597608
0.14543598578170497,0.6817799776656372,0.39740463999626935,1.6057929339155268
0.15053411436648195,0.6738403650250105,0.41851904501449483,1.582693862962398
0.15581095329538194,0.6659932124902072,0.44075527412435106,1.5599270683990998
0.16127276709990226,0.6582374433246712,0.46417293067679577,1.5374877704836483
0.16692603990909666,0.6505719933308941,0.4888347847932917,1.515371258229872
0.17277748314737146,0.6429958107043915,0.5148069416186865,1.4935728884183719
0.17883404350212131,0.6355078558893817,0.5421590185134931,1.4720880846217073
0.18510291117066296,0.6281071014361446,0.5709643316605287,1.4509123362436032
0.1915915283962582,0.6207925318600406,0.6013000925861033,1.4300411975719811
0.19830759830335917,0.6135631435021738,0.6332476151225253,1.4094702868456108
0.20525909404256573,0.6064179443916747,0.6668925333666804,1.3891952853341851
0.21245426825615069,0.5993559541095894,0.7023250312189117,1.369211936431633
0.21990166287539084,0.5923762036543522,0.7396400841174715,1.3495160447624714
0.22761011926133462,0.5854777353088251,0.7789377136165063,1.3301034753010128
0.23558878870104547,0.5786596025088864,0.8203232554899575,1.3109701525032442
0.24384714327178109,0.5719208697135494,0.8639076420800258,1.2921120594511921
0.25239498708600755,0.5652606122765923,0.9098076996470161,1.2735252370095964
0.2612424679305968,0.5586779163196854,0.9581464615176059,1.2552057829947163
0.2704000893140261,0.5521718786069936,1.0090534978709114,1.2371498513550905
0.27987872293588106,0.5457416064212405,1.0626652630463345,1.2193536513640848
0.2896896215934661,0.5393862174412153,1.1191254613041357,1.201813446824053
0.29984443254084486,0.5331048396207061,1.1785854320191373,1.1845255552819463
0.3103552113161692,0.5268966110688439,1.2412045553400575,1.1674863472562047
0.3212344360537135,0.5207606799318382,1.3071506794018264,1.1506922454747734
0.3324950222976042,0.5146962042760923,1.3766005702360098,1.1341397241240752
0.34415033833483155,0.5087023519726778,1.449740385585312,1.1178253081087894
0.3562142210657463,0.5027783005831551,1.5267661738921976,1.1017455723222782
0.3687009924308825,0.496923237246724,1.607884399799145,1.0858971409275073
0.3816254764136079,0.4911363585686878,1.6933124975691258,1.0702766866483107
0.3950030166387871,0.48541687051021665,1.7832794539097294,1.0548809300708504
0.4088494945883501,0.4797639882793945,1.8780264217631586,1.0397066389551246
0.4231813484553914,0.4741769362235351,1.9778073667073557,1.0247506275563802
0.4380155926591825,0.46865494772275157,2.082889747700896,1.0100097559562857
0.45336983804426595,0.4631972650847661,2.1935552339963738,0.9954809294037246
0.46926231278761066,0.4578031394409439,2.3101004601439166,0.9811610976650744
0.48571188403864846,0.45247183064353813,2.4328378211086132,0.9670472543838288
0.5027380803178833,0.4472026071641317,2.5620963096331226,0.9531364364494314
0.5203611147006634,0.44199474599326155,2.698222398089973,0.9394257233751913
0.53860190881364,0.43684753254121184,2.8415809671873387,0.9259122366851448
0.5574821176724001,0.43176026053996247,2.9925562840176547,0.9125931393097383
0.5770241553897612,0.4267322319462794,3.151553032070667,0.8994656349902036
0.597251221785246,0.42176275684593384,3.3189973959718575,0.8865269676915011
0.6181873299273298,0.41685115335903616,3.495338203853826,0.8737744210237094
0.6398573346411559,0.411996747546473,3.6810481304227247,0.8612053176717339
0.6622869620155635,0.40719887331743343,3.8766249639444896,0.8488170188332251
0.685502839944459,0.4024568723380124,4.082592940547016,0.8366069236645766
0.7095325297387868,0.3977700939408782,4.299504149414803,0.8245724687348951
0.7344045588466299,0.39313789503599167,4.527940012642614,0.8127111274878261
0.7601484547202846,0.38855964002236626,4.768512843714902,0.8010204097111178
0.7867947798705146,0.38403470070085405,5.021867488788374,0.789497861013818
0.8143751681496014,0.3795624561879487,5.288683055177162,0.7781410623109902
0.8429223623062647,0.3751422928305919,5.569674731673656,0.7669476293158427
0.8724702528570357,0.37077360412197136,5.86559570558437,0.7559152120391625
0.9030539183202335,0.3664557906182998,6.177239181619365,0.7450414942959501
0.9347096668603062,0.36218825985656367,6.505440508046726,0.7343241932191521
0.9674750793919779,0.3579704262732282,6.85107941581126,0.7237610587803872
1.0013890541953727,0.3538017111238911,7.215082376619229,0.7133498733175675
1.0364918530950822,0.34968154240387,7.59842508630986,0.7030884510693146
1.0728251492579994,0.3456093547697162,8.00213508017027,0.692974637716073
1.110432076666662,0.34158458946164166,8.427294487203993,0.6830063099278252
1.1493572813268398,0.3376066942268493,8.875042930735892,0.6731813749183105
1.1896469742701596,0.33367512324375675,9.346580583128317,0.6634977700056606
1.231348986414688,0.32978933704710184,9.843171382796646,0.6539534621793505
